,class,mfcc,image
0,car,"[-3.3951648e+02  1.5330246e+02 -2.7018003e+01  2.4733335e+01
  2.9008925e+00  1.8785023e+01  1.0959794e+01  1.6926014e+01
  1.2656106e+01  1.3174908e+01 -1.0758634e+00  4.1780496e+00
 -4.5081286e+00  1.3167423e+00 -6.2097292e+00 -2.3799370e-01
 -1.7392468e+00  3.4175444e+00 -7.1993275e+00 -3.2069285e+00
 -2.2908118e+00  4.3658486e-01 -8.3354044e+00 -4.7056966e+00
 -9.5096025e+00 -1.7588928e+00 -7.3299413e+00 -3.2419908e+00
 -6.1764603e+00 -5.0069654e-01 -4.8796277e+00 -7.0921771e-02
 -4.0012059e+00 -1.4791135e+00 -4.4646826e+00  3.3029392e-01
 -3.5688696e+00  2.6497958e+00  1.4890678e+00  3.2632411e+00]",train_00035.jpg
1,bird,"[-6.8453650e+02 -2.2557116e+01 -2.4532591e+01  4.4829159e+01
 -1.5686786e+01  7.3016858e+00 -8.9466088e-03  1.4429072e+00
  4.8914514e+00 -6.6301880e+00 -2.5299590e+00 -7.5507259e-01
 -2.2043049e+00  9.5529175e+00 -7.5981007e+00  2.6365035e+00
 -1.7800279e+00  2.5087786e+00 -2.1815827e+00  7.3707050e-01
 -6.2141031e-01  2.5389504e+00 -2.4273088e+00  5.4601355e+00
 -1.0374008e+00  2.8695552e+00  6.2844765e-01  3.2031076e+00
 -4.1448512e+00  2.5964994e+00  3.7397680e-01  2.5062997e+00
 -3.1161904e+00  3.1582384e+00 -1.7601537e+00  2.0982428e+00
  2.5502173e-02  1.4178164e+00 -1.0428749e+00  3.5001371e+00]",0124.jpg
2,car,"[-2.3215756e+02  9.6842461e+01 -1.2800567e+01  1.2880284e+00
 -1.7443802e+00  7.0148907e+00 -2.7780952e+00  4.6807985e+00
 -1.5950268e+01 -5.1410923e+00 -1.6703869e+00  1.2095077e+00
 -7.2310534e+00  1.2234916e+01  1.7530662e+00  3.4592943e+00
  6.9213505e+00  3.8916426e+00 -1.8188179e+00  1.0925114e+00
 -3.8296471e+00 -2.4201310e+00 -2.3122858e-01  8.5556412e+00
  7.7380352e-02  4.9485979e+00 -5.9677184e-01  5.8917284e+00
 -2.6477020e+00  2.7932167e+00 -3.2002494e+00  2.6989751e+00
 -4.8937197e+00 -1.6860662e+00 -4.0468998e+00  1.8243657e-01
 -7.3770404e-01  2.9974060e+00 -3.7187781e+00 -1.1064633e+00]",train_00384.jpg
3,bird,"[-3.2060208e+02  3.1212282e+01 -1.5393091e+01  6.5671623e+01
 -4.8126068e+00  1.5638529e+01  3.5678535e+00  8.2464752e+00
  1.3593524e+01  9.3046989e+00  7.1458936e+00  1.7918554e+01
  3.8821914e+00  9.8959332e+00  4.9635439e+00  7.9488978e+00
  2.1440265e+00  4.2120028e+00 -2.0700533e+00  4.8733749e+00
  5.7261825e-01  4.7066469e+00 -5.1624018e-01  4.4440007e+00
 -1.4412353e+00  5.0003843e+00 -2.1280935e+00  4.2635784e+00
 -7.0885932e-01  2.5824618e-01 -6.2657076e-01  4.2385411e+00
 -4.6967168e+00  9.1887575e-01 -3.5777915e+00  8.7402534e-01
 -4.0403652e+00 -1.7028636e-01 -2.8838744e+00  1.2241037e+00]",0006.jpg
4,dog,"[-4.6881979e+02  1.1211660e+02 -1.2120191e+01  8.3368864e+00
 -1.8230669e+01  3.8023393e+00  6.9748425e+00  5.0185609e-01
 -5.6372089e+00  4.3452330e+00 -5.3542628e+00  4.4373198e+00
 -3.7661591e+00 -5.1999731e+00 -6.3958592e+00  3.6204693e-01
 -8.4040947e+00 -3.4542900e-01 -6.4293318e+00 -1.5716248e+00
 -8.3278055e+00  7.6379585e-01 -6.4672947e+00 -2.0253782e+00
 -4.2256975e+00 -2.3017719e+00 -5.6391330e+00  1.7221092e+00
 -6.3673320e+00  5.5144507e-01 -2.7464869e+00 -1.3397608e+00
 -5.6773586e+00 -1.3461922e+00 -7.3054600e+00 -1.6393821e+00
 -4.5145855e+00 -1.1913311e+00 -4.1607175e+00 -1.6732688e+00]",n02100735_721.jpg
5,car,"[-294.38812     121.17004      27.566011     39.326145     21.680922
   18.411684      7.0307064    16.667048      3.8401916    10.919354
    4.9388995    11.745303      5.63064       7.758814      0.8308324
    0.3655261    -4.792328     -1.7526784    -5.356818     -1.004054
   -4.9614377     3.3586328     2.1488712     1.6683005    -6.265478
   -0.653316     -4.167139     -3.7187347    -5.2726893     0.35308284
   -4.5197186     1.946782     -1.7094661     1.5484744    -3.1010249
    0.29926157   -4.3516126    -0.94131166   -3.8215463     1.3648137 ]",train_00934.jpg
6,bird,"[-278.1369      49.508423   -46.16356     23.339348   -30.560835
   -5.225459   -11.101513     6.491258   -29.620802     6.8865414
  -13.345899     1.1497651  -13.291815     9.4343     -16.32682
    7.6110334  -11.034913     9.85518    -15.316133     7.3445735
  -10.169515     4.2801533   -7.8447237    7.2343936  -10.680715
    8.519262    -9.283545     5.4898534   -6.2900257    3.5326385
   -8.8621855    9.035641    -7.0950103    1.3703427   -2.1902204
    4.466222    -8.191268     6.2224765   -3.289113     2.0134497]",0066.jpg
7,car,"[-59.125427   102.16802    -11.794946     7.1378407   -1.6355428
  27.266108     5.1062427    6.9598513    9.906948     8.29667
   4.018011     8.644719     6.695275     2.2235575   -3.4779892
   5.9232755    0.400183     0.28532985  -1.6065062    5.2591414
   0.65911615   3.6550272    1.3579288    8.293304     2.1851919
   7.0649414    2.3714201    4.8026166   -1.1935827   11.052209
  -3.3513703   -1.2224927   -1.1148041    5.407944     1.531285
   5.1517463    3.2249472    3.5814703   -1.8702025    3.0996735 ]",train_00382.jpg
8,dog,"[-3.7815988e+02  9.4322754e+01 -2.8224329e+01 -2.3178675e+01
 -8.3063965e+00  1.4473052e+00 -9.6787462e+00 -5.1917928e-01
  3.6615152e+00  1.1014172e+01  3.2058742e+00  1.3276553e+01
  3.8151338e+00 -3.5031462e+00 -5.1861253e+00 -5.7934337e+00
 -9.3179855e+00 -3.6772397e+00 -6.0017982e+00  7.5750507e-02
  1.2924153e+00  7.1856338e-01 -2.1384239e+00  2.1976271e+00
 -1.2830460e-01 -3.9298909e+00 -3.8414233e+00  4.6078129e+00
  3.3897197e+00  4.2903481e+00  3.0655143e+00  4.9675822e+00
  1.4011827e+00 -1.9684825e+00 -1.1568331e+00  2.1673510e+00
  1.8736624e+00  3.4634387e+00  5.4971504e+00  5.4634719e+00]",n02096437_50.jpg
9,car,"[-3.0096744e+02  1.7545905e+02  3.8975300e+01  3.3918278e+01
  2.2838709e+01  3.4257053e+01  7.6530437e+00  1.2531426e+01
  9.1282768e+00  7.9096437e+00 -6.6544237e+00  5.5226059e+00
 -1.0996992e-02  2.0900555e+00 -3.5893691e+00 -2.5058764e-01
 -6.5095291e+00 -9.2545061e+00 -6.0169330e+00 -4.4029393e+00
 -2.5945911e+00 -3.1111574e+00 -6.0488906e+00 -4.8243322e+00
 -1.5176758e+00  6.8558383e-01 -6.8790984e+00 -4.7071438e+00
 -5.4806752e+00 -9.0084094e-01 -5.1402283e+00 -3.2900488e+00
 -5.0282092e+00 -2.8574591e+00 -5.2420964e+00  1.1369171e+00
 -1.9074112e+00 -2.6649114e-01 -3.4471924e+00 -3.0361121e+00]",train_00899.jpg
