file,class
0396.jpg,bird
0160.jpg,bird
0128.jpg,bird
0425.jpg,bird
0255.jpg,bird
train_00429.jpg,car
train_00559.jpg,car
n02090721_327.jpg,dog
train_00994.jpg,car
n02096051_584.jpg,dog
n02091244_85.jpg,dog
train_00750.jpg,car
n02097047_35.jpg,dog
0509.jpg,bird
n02091635_134.jpg,dog
1052.jpg,bird
0217.jpg,bird
train_00830.jpg,car
train_00079.jpg,car
train_00403.jpg,car
train_00678.jpg,car
0953.jpg,bird
0236.jpg,bird
0234.jpg,bird
0729.jpg,bird
n02088466_1983.jpg,dog
0870.jpg,bird
0297.jpg,bird
n02089973_243.jpg,dog
train_00018.jpg,car
train_00629.jpg,car
0095.jpg,bird
0858.jpg,bird
0688.jpg,bird
0789.jpg,bird
n02090721_175.jpg,dog
0295.jpg,bird
train_00235.jpg,car
0415.jpg,bird
n02090622_266.jpg,dog
n02099267_706.jpg,dog
n02100583_81.jpg,dog
n02091831_699.jpg,dog
n02097047_60.jpg,dog
train_00988.jpg,car
n02086910_557.jpg,dog
n02099267_40.jpg,dog
1057.jpg,bird
n02089867_31.jpg,dog
train_00464.jpg,car
train_00536.jpg,car
n02095889_199.jpg,dog
train_00448.jpg,car
train_00441.jpg,car
train_00299.jpg,car
train_00240.jpg,car
n02088466_1262.jpg,dog
n02099712_1414.jpg,dog
n02086910_797.jpg,dog
0051.jpg,bird
train_00743.jpg,car
0639.jpg,bird
n02097130_582.jpg,dog
n02096437_137.jpg,dog
n02094433_63.jpg,dog
train_00668.jpg,car
train_00220.jpg,car
train_00224.jpg,car
train_00797.jpg,car
train_00035.jpg,car
0745.jpg,bird
n02092339_75.jpg,dog
n02094114_297.jpg,dog
train_00500.jpg,car
train_00804.jpg,car
n02092002_498.jpg,dog
n02094114_347.jpg,dog
n02093428_366.jpg,dog
0427.jpg,bird
0626.jpg,bird
0009.jpg,bird
train_00602.jpg,car
0383.jpg,bird
n02090721_309.jpg,dog
0205.jpg,bird
0154.jpg,bird
n02094258_52.jpg,dog
n02090379_744.jpg,dog
train_00447.jpg,car
n02086079_904.jpg,dog
train_00404.jpg,car
0833.jpg,bird
train_00762.jpg,car
n02098286_321.jpg,dog
train_00472.jpg,car
0977.jpg,bird
0660.jpg,bird
n02088364_129.jpg,dog
train_00280.jpg,car
train_00933.jpg,car
train_00861.jpg,car
train_00529.jpg,car
0032.jpg,bird
train_00300.jpg,car
0166.jpg,bird
n02096437_290.jpg,dog
n02085936_66.jpg,dog
n02093859_36.jpg,dog
train_00307.jpg,car
train_00303.jpg,car
n02088364_1507.jpg,dog
0420.jpg,bird
0986.jpg,bird
n02094433_225.jpg,dog
n02085782_191.jpg,dog
0912.jpg,bird
train_00450.jpg,car
train_00780.jpg,car
train_00416.jpg,car
0371.jpg,bird
1033.jpg,bird
train_00588.jpg,car
train_00692.jpg,car
train_00420.jpg,car
0515.jpg,bird
1025.jpg,bird
train_00981.jpg,car
0461.jpg,bird
n02091467_218.jpg,dog
train_00480.jpg,car
0727.jpg,bird
n02093859_61.jpg,dog
0662.jpg,bird
0837.jpg,bird
n02096585_145.jpg,dog
n02085936_338.jpg,dog
0901.jpg,bird
0343.jpg,bird
train_00067.jpg,car
train_00842.jpg,car
train_00984.jpg,car
n02100236_250.jpg,dog
n02087046_267.jpg,dog
train_00281.jpg,car
train_00618.jpg,car
n02091467_366.jpg,dog
0115.jpg,bird
train_00405.jpg,car
0750.jpg,bird
train_00863.jpg,car
n02086646_173.jpg,dog
n02100583_220.jpg,dog
0575.jpg,bird
train_00455.jpg,car
0203.jpg,bird
n02098105_285.jpg,dog
n02092339_110.jpg,dog
n02091467_272.jpg,dog
train_00173.jpg,car
0340.jpg,bird
n02100877_123.jpg,dog
train_00044.jpg,car
0772.jpg,bird
n02086079_869.jpg,dog
n02090622_1391.jpg,dog
train_00196.jpg,car
1027.jpg,bird
0855.jpg,bird
train_00008.jpg,car
0659.jpg,bird
train_00387.jpg,car
n02092339_49.jpg,dog
0277.jpg,bird
train_00169.jpg,car
0517.jpg,bird
train_00017.jpg,car
0238.jpg,bird
0439.jpg,bird
n02091134_39.jpg,dog
0954.jpg,bird
n02094258_73.jpg,dog
0906.jpg,bird
n02096177_91.jpg,dog
0210.jpg,bird
n02096294_167.jpg,dog
n02093859_87.jpg,dog
0098.jpg,bird
n02098105_50.jpg,dog
1055.jpg,bird
0549.jpg,bird
0493.jpg,bird
train_00627.jpg,car
train_00781.jpg,car
n02091244_175.jpg,dog
n02093991_130.jpg,dog
0964.jpg,bird
n02091635_142.jpg,dog
train_00231.jpg,car
0939.jpg,bird
n02088094_231.jpg,dog
train_00714.jpg,car
train_00296.jpg,car
train_00520.jpg,car
0805.jpg,bird
n02099601_67.jpg,dog
n02091032_309.jpg,dog
0697.jpg,bird
0642.jpg,bird
train_00062.jpg,car
train_00796.jpg,car
train_00497.jpg,car
0208.jpg,bird
0988.jpg,bird
train_00734.jpg,car
0388.jpg,bird
0204.jpg,bird
train_00922.jpg,car
0547.jpg,bird
train_00831.jpg,car
n02085936_352.jpg,dog
n02099429_282.jpg,dog
0194.jpg,bird
0841.jpg,bird
train_00813.jpg,car
0510.jpg,bird
0540.jpg,bird
n02099267_566.jpg,dog
n02100877_239.jpg,dog
train_00059.jpg,car
0280.jpg,bird
1001.jpg,bird
0085.jpg,bird
0338.jpg,bird
n02096177_218.jpg,dog
train_00974.jpg,car
train_00663.jpg,car
