"Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date","Altitude","file.name","Spectrogram_small","Spectrogram_med","Spectrogram_large","Spectrogram_full","Length","Uploaded","Other_species","Remarks","Bird_seen","Playback_used","Other_species1","Other_species2","Other_species3","Other_species4","Other_species5","Other_species6","Other_species7","Other_species8","Other_species9","Other_species10","Other_species11","Other_species12","Other_species13","Other_species14","Other_species15","Other_species16","Other_species17","Other_species18","Other_species19","Other_species20","Other_species21","Other_species22","Other_species23","Other_species24","Other_species25","Other_species26","Other_species27","Other_species28","Other_species29","Other_species30","Species","Path"
356824,"Sonus","naturalis","","Soundscape","José Carlos Sires","Spain","doñana visitable, sevilla, andalucía",37.1058,-6.2577,"call, female, flight call, male, song","//www.xeno-canto.org/356824/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/356824","no score","?","2017-01-28","?","XC356824-songscape 2-16 entremuros 28-01-2017.mp3","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC356824-small.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC356824-med.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC356824-large.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC356824-full.png","14:31","2017-02-25",NA,"parte 16 de 37. Paisaje sonoro grabado en la última parte de la noche y al amanecer. En la parte nocturna se escuchan sobre todo la focha común y el calamón, añadiéndose las grullas y paseriformes al amanecer. además de aves en la parte nocturna se escuchan sapillos moteados ibéricos, Pelodytes Ibericus, y ranitas meridionales, hyla Meridionalis.","no","no","Tyto alba","Himantopus himantopus","Gallinula chloropus","Fulica atra","Porphyrio porphyrio","Tachybaptus ruficollis","Anser anser","Grus grus","Alcedo atthis","Anthus pratensis","Sturnus unicolor","Motacilla alba","Emberiza calandra","Emberiza schoeniclus","Serinus serinus","Chloris chloris","Carduelis carduelis","Galerida cristata","Melanocorypha calandra","Passer hispaniolensis","Corvus corax",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonus naturalis","mp3//Sonus-naturalis-356824.mp3"
317951,"Sonus","naturalis","","Soundscape","José Carlos Sires","Spain","arroyo algarbe, hinojos, huelva, andalucía",37.3006,-6.3783,"begging call, call, female, flight call, juvenile, male, song","//www.xeno-canto.org/317951/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/317951","B","?","2016-05-16","?","XC317951-songscape 4-7 arroyo los centinales 16-05-2016.mp3","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC317951-small.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC317951-med.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC317951-large.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC317951-full.png","10:52","2016-05-23",NA,"Parte 7 de 7. Songscape grabado en un pinar cercano a la orilla de un arroyo en el que hay un enorme zarzal. Como curiosidad es de los pocos puntos de Doñana donde se ha encontrado al gorrión chillón en época de cría.","yes","no","Cyanistes caeruleus","Lophophanes cristatus","Parus major","Fringilla coelebs","Chloris chloris","Serinus serinus","Certhia brachydactyla","Sturnus unicolor","Cyanopica cooki","Sylvia atricapilla","Sylvia melanocephala","Troglodytes troglodytes","Cettia cetti","Luscinia megarhynchos","Passer domesticus","Petronia petronia","Turdus merula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonus naturalis","mp3//Sonus-naturalis-317951.mp3"
508571,"Sonus","naturalis","","Soundscape","Nelson Conceição","Portugal","Santo Estêvão, Tavira, Faro",37.1554,-7.696,"adult, alarm call, call, female, flight call, male, song","//www.xeno-canto.org/508571/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/508571","B","17:00","2019-11-18","10","XC508571-191118-170029soundscape.mp3","//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC508571-small.png","//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC508571-med.png","//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC508571-large.png","//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC508571-full.png","2:08","2019-11-27",NA,"Recorder: Zoom H1n.

Windscreen: Zoom WSU-1

Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).","yes","no","Sturnus unicolor","Cyanopica cooki","Linaria cannabina","Erithacus rubecula","Turdus philomelos","Garrulus glandarius","Phoenicurus ochruros","Motacilla cinerea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonus naturalis","mp3//Sonus-naturalis-508571.mp3"
448534,"Sonus","naturalis","","Soundscape","José Carlos Sires","Spain","Córdoba, Córdoba, Andalucía",37.9321,-4.9446,"call, drumming, female, flight call, male, song","//www.xeno-canto.org/448534/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/448534","B","?","2018-02-22","550","XC448534-songscape 12-3 castañar de valdejetas 22-02-2018.mp3","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC448534-small.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC448534-med.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC448534-large.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC448534-full.png","21:37","2019-01-03",NA,"Parte 3 de 9. Paisaje sonoro grabado en la confluencia de un bosque de pinos y un castañar con matorral de madroños y durillos.","no","no","Turdus merula","Erithacus rubecula","Turdus philomelos","Troglodytes troglodytes","Columba palumbus","Sylvia atricapilla","Prunella modularis","Fringilla coelebs","Regulus ignicapilla","Fringilla montifringilla","Sitta europaea","Coccothraustes coccothraustes","Certhia brachydactyla","Dendrocopos major","Aegithalos caudatus","Cyanistes caeruleus","Lophophanes cristatus","Garrulus glandarius","Sylvia melanocephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonus naturalis","mp3//Sonus-naturalis-448534.mp3"
373414,"Sonus","naturalis","","Soundscape","Lars Lachmann","Germany","Frohnau, Berlin, north-eastern part",52.6408,13.2956,"male, song","//www.xeno-canto.org/373414/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/373414","A","4:28","2017-05-20","50","XC373414-Dawn chorus2_20170520_042820_prepared.mp3","//www.xeno-canto.org/sounds/uploaded/HEYJSRUDZZ/ffts/XC373414-small.png","//www.xeno-canto.org/sounds/uploaded/HEYJSRUDZZ/ffts/XC373414-med.png","//www.xeno-canto.org/sounds/uploaded/HEYJSRUDZZ/ffts/XC373414-large.png","//www.xeno-canto.org/sounds/uploaded/HEYJSRUDZZ/ffts/XC373414-full.png","5:33","2017-06-02",NA,"Dawn chorus of peak bird song season in a residential garden in the outskirts of Berlin, no. 2 of 5 recordings documenting the gradual changes in the composition of the chorus as the morning progresses (sunrise 5:03 h, the time given for each recording marks the beginning of the recording). All species that can be heard are noted down as background species to this recording.","no","no","Turdus merula","Phoenicurus phoenicurus","Phoenicurus ochruros","Cyanistes caeruleus","Parus major","Ficedula hypoleuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonus naturalis","mp3//Sonus-naturalis-373414.mp3"
358040,"Sonus","naturalis","","Soundscape","José Carlos Sires","Spain","doñana visitable, sevilla, andalucía",37.1058,-6.2577,"call, female, flight call, male, song","//www.xeno-canto.org/358040/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/358040","no score","?","2017-01-28","?","XC358040-songscape 5-12 entremuros 28-01-2017.mp3","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC358040-small.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC358040-med.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC358040-large.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC358040-full.png","10:53","2017-03-06",NA,"Parte 12 de 13. Paisaje sonoro grabado en una zona encharcada rodeada de praderas de almajo. El audio ocupa la última parte de la noche y el amanecer. En la parte nocturna se oye el zampullín común, la focha, la gallineta y el calamón. Al abrir el día surgen el resto de especies.","no","no","Anser anser","Tachybaptus ruficollis","Fulica atra","Porphyrio porphyrio","Gallinula chloropus","Grus grus","Ardea cinerea","Tringa ochropus","Galerida cristata","Melanocorypha calandra","Lanius meridionalis","Pica pica","Erithacus rubecula","Sturnus unicolor","Saxicola rubicola","Phylloscopus collybita","Cettia cetti","Sylvia melanocephala","Emberiza calandra","Motacilla alba","Anthus pratensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonus naturalis","mp3//Sonus-naturalis-358040.mp3"
331475,"Sonus","naturalis","","Soundscape","José Carlos Sires","Spain","brazo del este, sevilla, andalucía",37.0951,-6.0386,"call, female, flight call, male, song","//www.xeno-canto.org/331475/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/331475","no score","?","2016-06-12","?","XC331475-songscape 2-1 brazo del este 12-06-2016.mp3","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC331475-small.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC331475-med.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC331475-large.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC331475-full.png","12:25","2016-08-18",NA,"Parte 1 de 3. Songscape grabado en un erial donde crían las canasteras, terreras, y otras especies que prosperan en zona de tierras valdías. El paraje del Brazo del Este consiste en una serie de campos de arroz irrigados por canales provistos de meandros y gran cantidad de vegetación riparia, todo alternado con alguna pradera de almajo o campo valdío.","yes","no","Glareola pratincola","Chroicocephalus ridibundus","Charadrius alexandrinus","Galerida cristata","Calandrella brachydactyla","Himantopus himantopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonus naturalis","mp3//Sonus-naturalis-331475.mp3"
330799,"Sonus","naturalis","","Soundscape","José Carlos Sires","Spain","cerca del pantano de la minilla, sevilla, andalucía",37.7151,-6.2141,"begging call, call, female, flight call, juvenile, male, song","//www.xeno-canto.org/330799/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/330799","no score","?","2016-06-02","?","XC330799-songscape 5-1 cerca del pantano de la minilla 02-06-2016.mp3","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC330799-small.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC330799-med.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC330799-large.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC330799-full.png","14:30","2016-08-11",NA,"Parte 1 de 14. Un manantial pequeño profundamente oculto en una gran hendidura de roca bordeado por bosque mediterráneo escarpado. Allí acuden los pájaros a beber y bañarse.","yes","no","Turdus merula","Garrulus glandarius","Cyanistes caeruleus","Sylvia melanocephala","Sylvia atricapilla","Hippolais polyglotta","Sitta europaea","Certhia brachydactyla","Carduelis carduelis","Serinus serinus","Coccothraustes coccothraustes","Fringilla coelebs","Emberiza calandra","Emberiza cia","Jynx torquilla","Dendrocopos major","Troglodytes troglodytes","Erithacus rubecula","Linaria cannabina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonus naturalis","mp3//Sonus-naturalis-330799.mp3"
442463,"Sonus","naturalis","","Soundscape","José Carlos Sires","Spain","Córdoba, Córdoba, Andalucía",37.9407,-4.894,"call, female, flight call, male, song","//www.xeno-canto.org/442463/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/442463","B","?","2018-01-18","260","XC442463-songscape 1-10 puente de la caballera 18-01-2018.mp3","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC442463-small.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC442463-med.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC442463-large.png","//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC442463-full.png","21:43","2018-11-16",NA,"Parte 10 de 12: paisaje sonoro grabado en bosque mediterráneo de pinos y encinas con algo de matorral en una zona muy umbría.  Cerca hay una colonia de cría de buitre leonado en unos riscos.","no","no","Gyps fulvus","Erithacus rubecula","Alectoris rufa","Turdus merula","Turdus philomelos","Columba palumbus","Prunella modularis","Fringilla coelebs","Sylvia atricapilla","Lophophanes cristatus","Parus major","Chloris chloris","Cyanistes caeruleus","Garrulus glandarius","Coccothraustes coccothraustes","Spinus spinus","Certhia brachydactyla","Aegithalos caudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonus naturalis","mp3//Sonus-naturalis-442463.mp3"
409981,"Sonus","naturalis","","Soundscape","Ruslan Mazuryk","Ukraine","Medyn, Pidvolochys'kyi district, Ternopil's'ka oblast",49.6157,26.1278,"call, female, flight call, male, song","//www.xeno-canto.org/409981/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/409981","A","11:10","2018-04-08","?","XC409981-MVI_7472.mp3","//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC409981-small.png","//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC409981-med.png","//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC409981-large.png","//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC409981-full.png","2:15","2018-04-08",NA,"","yes","unknown","Chroicocephalus ridibundus","Chloris chloris","Larus cachinnans","Fringilla coelebs","Cygnus olor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sonus naturalis","mp3//Sonus-naturalis-409981.mp3"
